product_id,product_name,category,subcategory,brand,current_price,cost_price,stock_quantity,weight_kg,launch_date,is_active,rating,review_count
PROD000000,TechPro Fragrance,Beauty,Fragrance,ProGear,250.63,146.88,497,14.35,2020-04-16,True,3.7,251
PROD000001,Classic Educational,Books,Educational,FitLife,323.46,96.82,134,9.38,2020-03-25,True,5.0,414
PROD000002,SmartTech Yoga,Sports,Yoga,Modern,105.91,49.61,259,12.67,2023-12-11,True,4.6,467
PROD000003,Classic Swimming,Sports,Swimming,SmartTech,451.12,149.95,391,10.17,2019-10-15,True,3.7,336
PROD000004,HomeEssentials Pants,Clothing,Pants,BeautyFirst,54.84,23.01,224,3.49,2024-06-27,True,4.4,0
PROD000005,StyleMax Skincare,Beauty,Skincare,ActiveWear,268.96,149.05,296,12.12,2019-01-26,True,4.0,16
PROD000006,ProGear Makeup,Beauty,Makeup,ComfortPlus,211.22,109.91,212,7.94,2019-09-30,True,4.0,232
PROD000007,UrbanStyle Speakers,Electronics,Speakers,Elite,240.96,138.37,260,5.77,2021-09-07,True,3.5,446
PROD000008,Elite Makeup,Beauty,Makeup,ActiveWear,208.98,75.48,209,9.74,2021-02-02,True,3.6,201
PROD000009,StyleMax Dresses,Clothing,Dresses,StyleMax,150.31,50.88,104,11.16,2019-09-14,True,3.7,78
PROD000010,Essential Cameras,Electronics,Cameras,UrbanStyle,223.07,74.25,151,5.01,2022-01-17,True,3.5,388
PROD000011,Premium Jackets,Clothing,Jackets,Essential,367.0,116.94,99,7.56,2022-03-04,True,4.2,427
PROD000012,ProGear Lighting,Home,Lighting,Essential,32.73,10.71,77,14.58,2023-11-20,True,3.8,309
PROD000013,Premium Storage,Home,Storage,ActiveWear,334.47,114.68,396,8.16,2022-06-16,True,3.5,401
PROD000014,Classic Smartwatches,Electronics,Smartwatches,Elite,283.64,87.72,380,10.35,2022-11-23,True,4.9,51
PROD000015,FitLife Lighting,Home,Lighting,UrbanStyle,419.19,142.35,299,9.02,2022-12-24,True,3.6,136
PROD000016,ActiveWear Haircare,Beauty,Haircare,SmartTech,91.77,56.25,144,1.3,2023-01-26,True,4.4,479
PROD000017,BeautyFirst Furniture,Home,Furniture,Premium,189.17,95.35,225,3.25,2021-10-16,True,4.7,303
PROD000018,Classic Running,Sports,Running,SmartTech,300.29,144.7,83,3.44,2022-04-05,True,3.4,133
PROD000019,Elite Furniture,Home,Furniture,ProGear,123.25,52.72,0,3.94,2019-07-01,True,3.2,149
PROD000020,Elite Journals,Books,Journals,Modern,223.82,116.79,387,3.49,2022-09-08,True,5.0,0
